,Panchy_et_al_E_signature,Panchy_et_al_M_signature
m.DMS153,0.08520179372197309,0.028409090909090908
m.NCIH60,0.004484304932735426,0.028409090909090908
m.NCIH69,0.03139013452914798,0.03977272727272727
m.NCIH82,0.008968609865470852,0.045454545454545456
m.NCIH128,0.04932735426008968,0.05113636363636364
m.NCIH146,0.04484304932735426,0.03977272727272727
m.NCIH187,0.03139013452914798,0.022727272727272728
m.NCIH209,0.05829596412556054,0.022727272727272728
m.NCIH211,0.04484304932735426,0.045454545454545456
m.NCIH250,0.06278026905829596,0.03977272727272727
m.NCIH345,0.04484304932735426,0.045454545454545456
m.NCIH378,0.017937219730941704,0.03977272727272727
m.NCIH446,0.013452914798206279,0.05113636363636364
m.NCIH510,0.053811659192825115,0.017045454545454544
m.NCIH524,0.008968609865470852,0.028409090909090908
m.NCIH526,0.03587443946188341,0.028409090909090908
m.NCIH711,0.02242152466367713,0.03409090909090909
m.NCIH735,0.10762331838565023,0.022727272727272728
m.NCIH738,0.04035874439461883,0.03977272727272727
m.NCIH740,0.06278026905829596,0.0625
m.NCIH748,0.053811659192825115,0.03409090909090909
m.NCIH774,0.06278026905829596,0.03977272727272727
m.NCIH841,0.008968609865470852,0.06818181818181818
m.NCIH865,0.07174887892376682,0.03977272727272727
m.NCIH889,0.04484304932735426,0.03977272727272727
m.NCIH1048,0.03139013452914798,0.045454545454545456
m.NCIH1092,0.02242152466367713,0.045454545454545456
m.NCIH1184,0.02242152466367713,0.07386363636363637
m.NCIH1238,0.07623318385650224,0.017045454545454544
m.NCIH1339,0.09417040358744394,0.028409090909090908
m.NCIH1417,0.026905829596412557,0.045454545454545456
m.NCIH1436,0.03139013452914798,0.03409090909090909
m.NCIH1450,0.1031390134529148,0.017045454545454544
m.NCIH1514,0.03587443946188341,0.03977272727272727
m.NCIH1522,0.04035874439461883,0.03409090909090909
m.NCIH1607,0.06278026905829596,0.03409090909090909
m.NCIH1628,0.08071748878923767,0.03977272727272727
m.NCIH1672,0.03139013452914798,0.03977272727272727
m.NCIH1688,0.12556053811659193,0.005681818181818182
m.NCIH1694,0.0,0.028409090909090908
m.NCIH1836,0.04035874439461883,0.05113636363636364
m.NCIH1870,0.03139013452914798,0.045454545454545456
m.NCIH1876,0.04035874439461883,0.028409090909090908
m.NCIH1882,0.053811659192825115,0.03977272727272727
m.NCIH1926,0.026905829596412557,0.045454545454545456
m.NCIH1930,0.04484304932735426,0.03409090909090909
m.NCIH1963,0.013452914798206279,0.03409090909090909
m.NCIH1994,0.04932735426008968,0.03409090909090909
m.NCIH2029,0.04484304932735426,0.03977272727272727
m.NCIH2081,0.04035874439461883,0.045454545454545456
m.NCIH2107,0.04932735426008968,0.05113636363636364
m.NCIH2108,0.03587443946188341,0.045454545454545456
m.NCIH2141,0.053811659192825115,0.03977272727272727
m.NCIH2171,0.02242152466367713,0.022727272727272728
m.NCIH2195,0.04035874439461883,0.07954545454545454
m.NCIH2196,0.06278026905829596,0.03977272727272727
m.NCIH2198,0.026905829596412557,0.06818181818181818
