,Panchy_et_al_E_signature,Panchy_et_al_M_signature
m.DMS153,17.637215816329118,-4.466266873067894
m.NCIH60,-23.995460417611454,2.1126811413148037
m.NCIH69,4.285189969667161,-3.381235500875502
m.NCIH82,-17.101564762018427,11.018532582105205
m.NCIH128,6.543249470307284,-4.732721200843945
m.NCIH146,6.39013034433916,-4.4258830157236115
m.NCIH187,5.142374458654515,-10.556154485909394
m.NCIH209,11.044583012221043,-8.206552386188811
m.NCIH211,5.3469028795359375,2.2060128008497286
m.NCIH250,14.323171295421366,-1.577912042345385
m.NCIH345,3.294226155868375,-3.512270460165658
m.NCIH378,-11.571378685025719,4.51912967325366
m.NCIH446,-25.770777333406826,6.185162490230493
m.NCIH510,12.322089058241087,-2.3796108169845667
m.NCIH524,-20.453393039376476,3.4381714430147396
m.NCIH526,5.234852395370148,-6.289107687478016
m.NCIH711,-6.885838807880793,-5.189205694730685
m.NCIH735,22.502003127824143,-2.207469340341068
m.NCIH738,-3.289870607497886,-7.994252370365964
m.NCIH740,5.75270445945544,-2.4412366129981002
m.NCIH748,7.202703529383883,-5.124954873131289
m.NCIH774,15.500855267410868,-1.3236765963355357
m.NCIH841,-20.67744815285059,14.579181935961426
m.NCIH865,12.70694239185731,-1.4348365001011256
m.NCIH889,1.5407063406151924,-4.930401827781827
m.NCIH1048,0.7086489969784459,6.134967462170785
m.NCIH1092,-9.907931687481993,-1.5493360053280392
m.NCIH1184,-10.630959005987002,16.138241339924136
m.NCIH1238,13.572019916050413,-5.933768589642502
m.NCIH1339,15.028302669498391,-4.528771793439967
m.NCIH1417,-0.04027210527653942,-6.739118146164087
m.NCIH1436,3.843772960636762,-4.068673532120694
m.NCIH1450,18.459926327805086,-3.5870437035532374
m.NCIH1514,-2.5073656903842685,-4.96375716660744
m.NCIH1522,-3.05964484239634,-6.546829918440961
m.NCIH1607,10.166553240722072,12.701748304954098
m.NCIH1628,14.372390848247727,-4.583876843802355
m.NCIH1672,4.8437406279746105,-4.250174221981963
m.NCIH1688,22.766339584723436,-7.1822518765240275
m.NCIH1694,-20.08606232175533,0.2793615046591828
m.NCIH1836,3.7922681348294156,-5.827597965750476
m.NCIH1870,-2.880748644294603,-4.942964462406359
m.NCIH1876,0.15613405871019712,-6.010746149778362
m.NCIH1882,5.560550596212387,2.6808029144744445
m.NCIH1926,-6.131867760812247,-6.294459597001905
m.NCIH1930,1.1871247149897657,1.1955699797534305
m.NCIH1963,-10.623203494692017,-7.747213354643504
m.NCIH1994,8.917079211754272,-6.732137473563103
m.NCIH2029,8.997288639520587,-5.686193969019439
m.NCIH2081,7.143358034487229,-1.3595851794784541
m.NCIH2107,2.4929927127577627,-7.525388303007118
m.NCIH2108,1.9925982502406359,-2.7408531230963273
m.NCIH2141,7.950261550440537,-2.3495335955632566
m.NCIH2171,-4.031518020150169,-2.9660859695618966
m.NCIH2195,10.153847493525058,16.766822795535248
m.NCIH2196,10.48804642154594,5.79052754984241
m.NCIH2198,5.824480850299059,14.609805026441661
m.NCIH2227,-17.539637372504803,2.3539296306954554
m.NCIH2679,6.08880067916968,-7.395752917286469
m.NCIH3282,6.132495322720325,1.1815003054444833
m.HCC33,-8.500289024437846,-6.392745109524886
m.HCC970,-21.025930528209962,4.883346431302119
m.HCC2433,-18.52018923595986,1.9789173432179579
m.HCC4000,11.49213023758805,-8.348821449831847
m.HCC4001,-22.28319169313888,-2.8972731886304643
m.HCC4003,6.040793468338748,-5.443303755441406
m.HCC4004,1.0610498415164153,4.0422764267643325
m.HCC4005,-5.28312982511183,-2.8600231772345794
m.SHP77,-1.4066128213181064,1.8441849172487805
m.HCC4002,-2.7748923653324566,3.5236608825154465
